platform	before_files	after_files	added	removed	changed	before_kb	after_kb
app	20	20	0	0	0	832	832
h5	7	7	0	0	0	224	224
h5-ssr	12	12	0	0	0	364	364
mp-alipay	33	33	0	0	3	316	280
mp-baidu	33	33	0	0	3	240	204
mp-kuaishou	33	33	0	0	3	236	200
mp-lark	34	34	0	0	3	240	204
mp-qq	36	36	0	0	3	248	212
mp-toutiao	33	33	0	0	3	236	200
mp-weixin	34	34	0	0	3	240	204
quickapp-webview	33	33	0	0	3	236	200
quickapp-webview-huawei	34	34	0	0	3	240	204
quickapp-webview-union	33	33	0	0	3	236	200
